Data,Count,Categoria,Análise,Relatório
2024-06-27 00:00:00,293,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 01:00:00,133,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 02:00:00,119,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 03:00:00,126,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 04:00:00,79,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 05:00:00,193,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 06:00:00,306,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 07:00:00,266,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 08:00:00,493,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 09:00:00,453,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 10:00:00,493,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 11:00:00,539,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 12:00:00,633,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 13:00:00,626,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 14:00:00,713,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 15:00:00,666,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 16:00:00,693,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 17:00:00,806,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 18:00:00,1259,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 19:00:00,1859,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 20:00:00,1819,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 21:00:00,1966,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 22:00:00,12313,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27 23:00:00,15179,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 00:00:00,11546,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 01:00:00,4953,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 02:00:00,2399,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 03:00:00,1519,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 04:00:00,1613,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 05:00:00,2806,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 06:00:00,5459,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 07:00:00,7906,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 08:00:00,9453,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 09:00:00,8553,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 10:00:00,7513,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 11:00:00,7353,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 12:00:00,6619,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 13:00:00,6226,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 14:00:00,4613,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 15:00:00,5046,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 16:00:00,4553,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 17:00:00,4173,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 18:00:00,4579,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 19:00:00,4319,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 20:00:00,3919,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 21:00:00,3653,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 22:00:00,3259,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28 23:00:00,2806,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 00:00:00,1993,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 01:00:00,1073,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 02:00:00,686,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 03:00:00,579,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 04:00:00,513,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 05:00:00,533,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 06:00:00,1173,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 07:00:00,1466,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 08:00:00,1893,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 09:00:00,1826,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 10:00:00,1946,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 11:00:00,1839,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 12:00:00,1393,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 13:00:00,1533,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 14:00:00,1559,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 15:00:00,1599,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 16:00:00,1386,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 17:00:00,1486,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 18:00:00,1539,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 19:00:00,1446,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 20:00:00,1579,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 21:00:00,1893,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 22:00:00,1606,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29 23:00:00,1079,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 00:00:00,799,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 01:00:00,553,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 02:00:00,306,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 03:00:00,266,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 04:00:00,179,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 05:00:00,286,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 06:00:00,406,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 07:00:00,733,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 08:00:00,1373,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 09:00:00,1313,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 10:00:00,1399,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 11:00:00,1366,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 12:00:00,1713,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 13:00:00,1926,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 14:00:00,1799,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 15:00:00,1739,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30 16:00:00,1859,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
