Data,Count,Categoria,Análise,Relatório
2024-06-27,21,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28,70,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29,48,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30,31,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-01,76,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02,81,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03,36,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04,56,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-05,71,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-06,45,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-07,18,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-08,74,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-09,73,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-10,41,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-11,57,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-12,30,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-13,471,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-14,845,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-15,511,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-16,279,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-17,250,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-18,165,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-19,115,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-20,101,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-21,210,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-22,41,Associações com Jair Bolsonaro,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-27,42,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-28,120,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-29,62,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-06-30,50,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-01,213,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02,140,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03,85,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04,65,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-05,123,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-06,53,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-07,29,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-08,85,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-09,39,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-10,49,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-11,24,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-12,39,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-13,153,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-14,363,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-15,423,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-16,127,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-17,167,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-18,103,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-19,62,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-20,35,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-21,159,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-22,39,Associações com Lula,Associações com Lula e Bolsonaro no Facebook,#2_POLICYREPORT_FGV Comunicação Rio
