Nº,Local,P.a.p.,Instr.,Tam.,Renda
1,1,0,3,4,10.3
2,1,0,3,4,15.4
3,1,1,2,4,9.6
4,1,0,2,5,5.5
5,1,1,3,4,9
6,1,1,1,1,2.4
7,1,0,3,2,4.1
8,1,1,3,3,8.4
9,1,1,3,6,10.3
10,1,1,2,4,4.6
11,1,0,2,6,18.6
12,1,1,1,4,7.1
13,1,0,2,4,12.9
14,1,0,2,6,8.4
15,1,0,3,3,19.3
16,1,0,2,5,10.4
17,1,1,3,3,8.9
18,1,0,3,4,12.9
19,1,0,3,4,5.1
20,1,1,3,4,12.2
21,1,1,3,5,5.8
22,1,1,3,5,12.9
23,1,0,3,5,7.7
24,1,0,2,4,1.1
25,2,0,2,8,7.5
26,2,1,3,4,5.8
27,2,1,1,5,7.2
28,2,0,3,3,8.6
29,2,1,2,4,5.1
30,2,0,3,5,2.6
31,2,1,3,5,7.7
32,2,1,2,2,2.4
33,2,1,3,5,4.8
34,2,1,1,2,2.1
35,2,1,1,6,4
36,2,1,1,8,12.5
37,2,1,3,3,6.8
38,2,1,3,5,3.9
39,2,0,3,5,9
40,2,0,3,3,10.9
41,2,1,2,5,5.4
42,2,1,1,3,6.4
43,2,1,1,6,4.4
44,2,1,1,5,2.5
45,2,0,1,6,5.5
46,2,1,1,8,6.5
47,2,1,3,4,14
48,2,1,2,4,8.5
49,2,1,1,5,7.7
50,2,0,2,3,5.8
51,2,1,3,5,5
52,2,0,1,3,4.8
53,2,1,2,2,2.8
54,2,1,2,4,4.2
55,2,1,3,3,10.2
56,2,1,2,4,7.4
57,2,1,2,5,5
58,2,0,3,2,6.4
59,2,0,3,4,5.7
60,2,1,2,4,10.8
61,2,0,3,1,2.3
62,2,1,1,7,6.1
63,2,1,1,3,5.5
64,2,1,1,7,3.5
65,2,1,3,3,9
66,2,1,3,6,5.8
67,2,0,1,6,4.2
68,2,1,3,3,6.8
69,2,1,2,5,4.8
70,2,1,3,5,6
71,2,1,2,7,9
72,2,1,1,4,5.3
73,2,1,3,4,3.1
74,2,0,3,1,6.4
75,2,1,1,3,3.9
76,2,1,2,3,6.4
77,2,1,3,4,2.7
78,2,0,2,4,2.4
79,2,0,2,4,3.6
80,2,0,3,5,6.4
81,2,0,3,2,11.3
82,2,1,1,5,3.8
83,2,1,2,3,4.1
84,3,1,1,5,1.8
85,3,1,3,5,7.1
86,3,0,1,3,13.9
87,3,1,2,6,4
88,3,1,1,6,2.9
89,3,1,2,9,3.9
90,3,1,1,4,2.2
91,3,0,2,3,5.8
92,3,0,2,5,2.8
93,3,1,2,5,4.5
94,3,0,2,4,5.8
95,3,0,3,8,3.9
96,3,0,2,7,2.8
97,3,1,1,3,1.3
98,3,1,3,5,3.9
99,3,1,3,5,5
100,3,1,1,5,0.1
101,3,0,2,3,4.6
102,3,1,2,4,2.6
103,3,0,1,6,2.3
104,3,1,2,5,4.9
105,3,1,1,5,2.3
106,3,1,1,3,3.9
107,3,1,1,4,2.1
108,3,1,1,4,2.7
109,3,1,2,5,11.1
110,3,1,1,6,6.4
111,3,0,3,7,25.7
112,3,1,1,4,0.9
113,3,1,3,5,3.9
114,3,1,1,5,5.1
115,3,1,2,6,4.2
116,3,1,1,6,4.4
117,3,1,1,7,7.9
118,3,0,1,4,4.2
119,3,0,1,4,3.5
120,3,0,2,6,11.4
